#EN          DATA        DATA-ERR    
#EV          B           B           
1.4718e+02  7.1634e+00  3.0340e-02  
1.4877e+02  7.1327e+00  3.0136e-02  
1.5038e+02  7.1783e+00  3.0136e-02  
1.5202e+02  7.1128e+00  2.9855e-02  
1.5369e+02  7.1265e+00  2.9793e-02  
1.5538e+02  7.1420e+00  2.9684e-02  
1.5711e+02  7.1402e+00  2.9550e-02  
1.5886e+02  7.0688e+00  2.9250e-02  
1.6064e+02  7.0990e+00  2.9218e-02  
1.6245e+02  7.0849e+00  2.9045e-02  
1.6429e+02  7.0529e+00  2.8752e-02  
1.6617e+02  7.1214e+00  2.8905e-02  
1.6807e+02  7.0787e+00  2.8729e-02  
1.7001e+02  7.0736e+00  2.8508e-02  
1.7199e+02  7.0794e+00  2.8406e-02  
1.7399e+02  7.0571e+00  2.8340e-02  
1.7604e+02  7.0078e+00  2.8077e-02  
1.7812e+02  7.0915e+00  2.8129e-02  
1.8023e+02  7.0269e+00  2.7855e-02  
1.8239e+02  7.0555e+00  2.7812e-02  
1.8458e+02  7.0682e+00  2.7718e-02  
1.8681e+02  7.0148e+00  2.7448e-02  
1.8909e+02  6.9656e+00  2.7257e-02  
1.9140e+02  6.9626e+00  2.7043e-02  
1.9376e+02  6.9542e+00  2.7036e-02  
1.9616e+02  6.9479e+00  2.6868e-02  
1.9861e+02  6.9845e+00  2.6796e-02  
2.0110e+02  6.9548e+00  2.6654e-02  
2.0364e+02  6.9108e+00  2.6407e-02  
2.0623e+02  6.9341e+00  2.6326e-02  
2.0887e+02  6.9100e+00  2.6259e-02  
2.1156e+02  6.9214e+00  2.6082e-02  
2.1430e+02  6.8839e+00  2.5858e-02  
2.1710e+02  6.8562e+00  2.5759e-02  
2.1995e+02  6.8112e+00  2.5605e-02  
2.2285e+02  6.8284e+00  2.5479e-02  
2.2582e+02  6.6773e+00  2.5058e-02  
2.2747e+02  6.6111e+00  7.8469e-02  
2.2777e+02  6.7167e+00  7.9649e-02  
2.2808e+02  6.7533e+00  7.9485e-02  
2.2838e+02  6.8047e+00  7.9582e-02  
2.2869e+02  7.1942e+00  8.2198e-02  
2.2899e+02  8.4763e+00  9.1698e-02  
2.2930e+02  1.2114e+01  1.2956e-01  
2.2960e+02  1.9827e+01  2.8766e-01  
2.2991e+02  2.8448e+01  7.1532e-01  
2.3022e+02  2.9527e+01  8.0610e-01  
2.3053e+02  2.7615e+01  6.5380e-01  
2.3084e+02  2.4535e+01  4.6885e-01  
2.3115e+02  1.5845e+01  1.8866e-01  
2.3146e+02  1.1326e+01  1.1938e-01  
2.3177e+02  8.9904e+00  9.6340e-02  
2.3208e+02  8.2515e+00  8.9738e-02  
2.3239e+02  8.0391e+00  8.7905e-02  
2.3278e+02  7.7241e+00  7.0205e-02  
2.3325e+02  7.4887e+00  6.8910e-02  
2.3373e+02  7.2547e+00  6.7386e-02  
2.3420e+02  7.3452e+00  6.7750e-02  
2.3468e+02  7.2630e+00  6.7052e-02  
2.3515e+02  7.2199e+00  6.6913e-02  
2.3563e+02  7.0910e+00  6.6099e-02  
2.3748e+02  7.0581e+00  2.5443e-02  
2.4074e+02  6.9271e+00  2.5075e-02  
2.4407e+02  6.8553e+00  2.4899e-02  
2.4747e+02  6.9036e+00  2.4819e-02  
2.5094e+02  6.9004e+00  2.4664e-02  
2.5449e+02  6.8695e+00  2.4425e-02  
2.5811e+02  6.8225e+00  2.4271e-02  
2.6181e+02  6.8126e+00  2.4162e-02  
2.6558e+02  6.7804e+00  2.3985e-02  
2.6944e+02  6.7794e+00  2.3888e-02  
2.7243e+02  6.7565e+00  4.3960e-02  
2.7349e+02  6.8351e+00  4.7805e-02  
2.7449e+02  6.7607e+00  4.7762e-02  
2.7549e+02  6.7182e+00  4.7419e-02  
2.7650e+02  6.7740e+00  4.7376e-02  
2.7752e+02  6.8010e+00  4.7413e-02  
2.7854e+02  6.7084e+00  4.7088e-02  
2.7957e+02  6.7484e+00  4.7347e-02  
2.8061e+02  6.7941e+00  4.7240e-02  
2.8165e+02  6.7369e+00  4.7073e-02  
2.8269e+02  6.7377e+00  4.7091e-02  
2.8374e+02  6.6686e+00  4.6712e-02  
2.8480e+02  6.7092e+00  4.6778e-02  
2.8586e+02  6.7045e+00  4.6618e-02  
2.8693e+02  6.6992e+00  4.6671e-02  
2.8801e+02  6.6569e+00  4.6439e-02  
2.8909e+02  6.6874e+00  4.6596e-02  
2.9018e+02  6.6789e+00  4.6335e-02  
2.9127e+02  6.7002e+00  4.6504e-02  
2.9237e+02  6.6618e+00  4.6434e-02  
2.9347e+02  6.8119e+00  4.6626e-02  
2.9459e+02  6.7313e+00  4.6517e-02  
2.9571e+02  6.6798e+00  4.5999e-02  
2.9683e+02  6.5939e+00  4.5797e-02  
2.9796e+02  6.6624e+00  4.6059e-02  
2.9910e+02  6.6360e+00  4.5766e-02  
3.0024e+02  6.5918e+00  4.5735e-02  
3.0139e+02  6.5726e+00  4.5660e-02  
3.0255e+02  6.7170e+00  4.6094e-02  
3.0372e+02  6.6222e+00  4.5708e-02  
3.0489e+02  6.6673e+00  4.5701e-02  
3.0607e+02  6.6005e+00  4.5633e-02  
3.0725e+02  6.5550e+00  4.5385e-02  
3.0844e+02  6.5531e+00  4.5311e-02  
3.0964e+02  6.6265e+00  4.5509e-02  
3.1085e+02  6.5867e+00  4.5501e-02  
3.1206e+02  6.6432e+00  4.5738e-02  
3.1328e+02  6.6067e+00  4.5716e-02  
3.1450e+02  6.6087e+00  4.5423e-02  
3.1574e+02  6.6628e+00  4.5664e-02  
3.1698e+02  6.6875e+00  4.5539e-02  
3.1823e+02  6.5892e+00  4.5389e-02  
3.1948e+02  6.6028e+00  4.5397e-02  
3.2075e+02  6.5504e+00  4.5245e-02  
3.2202e+02  6.5815e+00  4.5549e-02  
3.2330e+02  6.5767e+00  4.5525e-02  
3.2458e+02  6.5865e+00  4.5598e-02  
3.2588e+02  6.4936e+00  4.5485e-02  
3.2718e+02  6.4937e+00  4.5562e-02  
3.2849e+02  6.6294e+00  4.6303e-02  
3.2981e+02  6.5152e+00  4.5999e-02  
3.3113e+02  6.5246e+00  4.5936e-02  
3.3246e+02  6.5176e+00  4.6262e-02  
3.3380e+02  6.5284e+00  4.6342e-02  
3.3515e+02  6.5980e+00  4.6583e-02  
3.3651e+02  6.4874e+00  4.6476e-02  
3.3788e+02  6.5546e+00  4.6417e-02  
3.3925e+02  6.5146e+00  4.6374e-02  
3.4063e+02  6.4945e+00  4.6080e-02  
3.4203e+02  6.5216e+00  4.6149e-02  
3.4343e+02  6.5463e+00  4.5889e-02  
3.4483e+02  6.4391e+00  4.5051e-02  
3.4625e+02  6.4786e+00  4.5207e-02  
3.4768e+02  6.5356e+00  4.5031e-02  
3.4911e+02  6.4811e+00  4.4456e-02  
3.5055e+02  6.4592e+00  4.4252e-02  
3.5201e+02  6.5079e+00  4.4306e-02  
3.5347e+02  6.4260e+00  4.3760e-02  
3.5494e+02  6.4372e+00  4.3878e-02  
3.5642e+02  6.3709e+00  4.3409e-02  
3.5791e+02  6.4594e+00  4.3507e-02  
3.5941e+02  6.4904e+00  4.3490e-02  
3.6091e+02  6.4189e+00  4.3072e-02  
3.6243e+02  6.4049e+00  4.2854e-02  
3.6396e+02  6.3570e+00  4.2787e-02  
3.6549e+02  6.3396e+00  4.2532e-02  
3.6704e+02  6.4002e+00  4.2537e-02  
3.6860e+02  6.3607e+00  4.2345e-02  
3.7016e+02  6.4287e+00  4.2627e-02  
3.7174e+02  6.4431e+00  4.2598e-02  
3.7332e+02  6.4115e+00  4.2351e-02  
3.7492e+02  6.3509e+00  4.2026e-02  
3.7653e+02  6.4093e+00  4.2187e-02  
3.7814e+02  6.4343e+00  4.2208e-02  
3.7977e+02  6.3295e+00  4.1848e-02  
3.8141e+02  6.3853e+00  4.1951e-02  
3.8306e+02  6.3795e+00  4.1805e-02  
3.8472e+02  6.2353e+00  4.1482e-02  
3.8639e+02  6.3309e+00  4.1602e-02  
3.8807e+02  6.4208e+00  4.1622e-02  
3.8976e+02  6.2110e+00  4.1331e-02  
3.9146e+02  6.4116e+00  4.1431e-02  
3.9318e+02  6.3565e+00  4.1310e-02  
3.9490e+02  6.4164e+00  4.1481e-02  
3.9664e+02  6.2744e+00  4.0933e-02  
3.9839e+02  6.3035e+00  4.1326e-02  
3.9935e+02  6.3203e+00  1.2976e-01  
3.9953e+02  6.0736e+00  1.2865e-01  
3.9971e+02  6.0964e+00  1.2773e-01  
3.9988e+02  6.2465e+00  1.2894e-01  
4.0006e+02  6.3706e+00  1.2947e-01  
4.0023e+02  6.4834e+00  1.3119e-01  
4.0041e+02  6.4414e+00  1.3155e-01  
4.0059e+02  6.2433e+00  1.2890e-01  
4.0077e+02  6.3666e+00  1.3052e-01  
4.0094e+02  6.4281e+00  1.3106e-01  
4.0112e+02  6.6280e+00  1.3168e-01  
4.0130e+02  6.5893e+00  1.3445e-01  
4.0147e+02  6.8223e+00  1.3529e-01  
4.0165e+02  6.8557e+00  1.3536e-01  
4.0183e+02  6.9115e+00  1.3560e-01  
4.0201e+02  7.0344e+00  1.3819e-01  
4.0218e+02  6.9900e+00  1.3680e-01  
4.0236e+02  7.0067e+00  1.3622e-01  
4.0254e+02  6.8425e+00  1.3578e-01  
4.0272e+02  6.5512e+00  1.3189e-01  
4.0290e+02  6.3036e+00  1.3133e-01  
4.0308e+02  6.6182e+00  1.3105e-01  
4.0325e+02  6.3317e+00  1.3104e-01  
4.0343e+02  6.4466e+00  1.2925e-01  
4.0361e+02  6.6335e+00  1.3123e-01  
4.0379e+02  6.3476e+00  1.2950e-01  
4.0397e+02  6.2426e+00  1.2956e-01  
4.0415e+02  6.1289e+00  1.2766e-01  
4.0514e+02  6.2914e+00  4.0911e-02  
4.0694e+02  6.2910e+00  4.0644e-02  
4.0876e+02  6.1770e+00  4.0701e-02  
4.1059e+02  6.3279e+00  4.0760e-02  
4.1243e+02  6.1620e+00  4.0273e-02  
4.1428e+02  6.2766e+00  4.0680e-02  
4.1615e+02  6.2622e+00  4.0422e-02  
4.1803e+02  6.2027e+00  4.0311e-02  
4.1992e+02  6.2074e+00  4.0298e-02  
4.2183e+02  6.2225e+00  4.0261e-02  
4.2374e+02  6.1692e+00  4.0020e-02  
4.2567e+02  6.2093e+00  4.0017e-02  
